what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1294968663531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968678828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968692593
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1294968692703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968694250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968708140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968708593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968708921
closed,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1294968708953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968711390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968722203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968722250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968722406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1294968722421
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1294968722718
opened,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1294968722953
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1294968723250
no handler,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1294968726234
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1294968727859
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1294968728437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968729343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968730968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968731250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968731437
closed,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1294968731515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968738375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968759796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968759812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294968759968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1294968760000
